Well,Treatment,Replicate,Conc,Fluc,Nluc
1,Untrans,1,0,3590,679
2,Untrans,2,0,5036,865
3,Untrans,3,0,6522,983
4,Untreated,4,0,771924,10360
5,Untreated,5,0,859315,12007
6,Untreated,6,0,840347,11452
7,H2O,1,0,712054,14278
8,H2O,2,0,691187,13992
9,H2O,3,0,684661,16914
10,Tris,4,0,728664,7801
11,Tris,5,0,694821,7846
12,Tris,6,0,686651,6920
13,G418,1,100,603722,280506
14,G418,2,100,698296,234674
15,G418,3,100,653490,172566
16,G418,4,100,623027,170755
17,G418,5,100,631362,217293
18,G418,6,100,634549,204650
19,G418,1,500,402009,448755
20,G418,2,500,399412,478760
21,G418,3,500,381222,426606
22,G418,4,500,337608,427134
23,G418,5,500,384641,452097
24,G418,6,500,364632,447978
25,G418,1,2000,81890,662309
26,G418,2,2000,69698,578825
27,G418,3,2000,87033,707097
28,G418,4,2000,62186,552450
29,G418,5,2000,44871,520240
30,G418,6,2000,58178,620612
31,Genta,1,100,696227,71418
32,Genta,2,100,746274,94573
33,Genta,3,100,692395,95500
34,Genta,4,100,800197,113592
35,Genta,5,100,764242,133647
36,Genta,6,100,755649,99937
37,Genta,1,500,411168,332394
38,Genta,2,500,441835,321865
39,Genta,3,500,436071,302534
40,Genta,4,500,422151,338795
41,Genta,5,500,431813,365133
42,Genta,6,500,452414,330278
43,Genta,1,2000,155689,881128
44,Genta,2,2000,103971,683919
45,Genta,3,2000,156981,890593
46,Genta,4,2000,63803,571444
47,Genta,5,2000,55157,593659
48,Genta,6,2000,74564,643901
49,Parom,1,500,636836,22657
50,Parom,2,500,683313,23996
51,Parom,3,500,673273,24263
52,Parom,4,500,707486,27497
53,Parom,5,500,720584,25801
54,Parom,6,500,701104,24290
55,Parom,1,3000,476240,77403
56,Parom,2,3000,508330,81857
57,Parom,3,3000,507128,107591
58,Parom,4,3000,461680,82657
59,Parom,5,3000,434700,94527
60,Parom,6,3000,499608,103331
61,Neo,1,500,745862,26497
62,Neo,2,500,803708,25964
63,Neo,3,500,759705,24767
64,Neo,4,500,826224,22249
65,Neo,5,500,850339,23224
66,Neo,6,500,900073,23627
67,Neo,1,2000,469292,49134
68,Neo,2,2000,360789,38626
69,Neo,3,2000,354422,39623
70,Neo,4,2000,344304,42724
71,Neo,5,2000,337482,41846
72,Neo,6,2000,319926,41184
73,Tobra,1,500,728567,13373
74,Tobra,2,500,588848,10332
75,Tobra,3,500,575860,10900
76,Tobra,4,500,607456,11376
77,Tobra,5,500,598792,10334
78,Tobra,6,500,623041,10990
79,Tobra,1,1000,695990,17379
80,Tobra,2,1000,675860,19691
81,Tobra,3,1000,710782,20214
82,Tobra,4,1000,662592,14142
83,Tobra,5,1000,639972,14450
84,Tobra,6,1000,642144,14272
85,Amik,1,500,697646,27233
86,Amik,2,500,585227,26408
87,Amik,3,500,587467,28360
88,Amik,4,500,663342,35375
89,Amik,5,500,622769,31622
90,Amik,6,500,627869,34146
91,Amik,1,2000,480992,43760
92,Amik,2,2000,522374,45602
93,Amik,3,2000,457548,45357
94,Amik,4,2000,506299,38348
95,Amik,5,2000,526024,42054
96,Amik,6,2000,469274,41530
